datum,partei,rolling_average,sz_err,ci_higher,ci_lower
2012-09-21,Grüne,0.136689746125948,0.0169868447082097,0.153676590834158,0.119702901417738
2012-09-21,FDP,0.0433102538740521,0.0101685756676558,0.0534788295417079,0.0331416782063963
2012-09-21,Linke,0.06,0.0117732706890867,0.0717732706890867,0.0482267293109133
2012-09-25,CDU/CSU,0.366598751232336,0.0238621261912586,0.390460877423595,0.342736625041078
2012-09-25,SPD,0.286802497535327,0.0222787479461058,0.309081245481433,0.264523749589221
2012-09-25,Grüne,0.13,0.0166456128820243,0.146645612882024,0.113354387117976
2012-09-25,FDP,0.0432993756161682,0.0101497896812356,0.0534491652974039,0.0331495859349326
2012-09-25,Linke,0.0667006243838318,0.0122643739730529,0.0789649983568847,0.0544362504107788
2012-10-02,CDU/CSU,0.366618325642716,0.0239045748187212,0.390522900461437,0.342713750823995
2012-10-02,SPD,0.280072511535926,0.0221854713249835,0.30225798286091,0.257887040210943
2012-10-02,Grüne,0.136690837178642,0.0169795319709954,0.153670369149637,0.119711305207647
2012-10-02,FDP,0.05,0.0108036651285432,0.0608036651285432,0.0391963348714568
2012-10-02,Linke,0.06,0.0117727949901121,0.0717727949901121,0.0482272050098879
2012-10-09,CDU/CSU,0.366666666666667,0.024,0.390666666666667,0.342666666666667
2012-10-09,SPD,0.286666666666667,0.0224033333333333,0.30907,0.264263333333333
2012-10-09,Grüne,0.13,0.01674,0.14674,0.11326
2012-10-09,FDP,0.0433333333333333,0.0102066666666667,0.05354,0.0331266666666667
2012-10-09,Linke,0.0666666666666667,0.0123366666666667,0.0790033333333333,0.05433
2012-10-15,CDU/CSU,0.366671096345515,0.0240153289036545,0.390686425249169,0.34265576744186
2012-10-15,SPD,0.293322259136213,0.0225381926910299,0.315860451827243,0.270784066445183
2012-10-15,Grüne,0.116671096345515,0.0160615747508306,0.132732671096346,0.100609521594684
2012-10-15,FDP,0.05,0.0108542059800664,0.0608542059800664,0.0391457940199336
2012-10-15,Linke,0.0666644518272425,0.0123441129568106,0.0790085647840532,0.0543203388704319
2012-10-23,CDU/CSU,0.359983427245608,0.0238949287371561,0.383878355982764,0.336088498508452
2012-10-23,SPD,0.300033145508784,0.0226262711302619,0.322659416639045,0.277406874378522
2012-10-23,Grüne,0.123327809081869,0.0163963539940338,0.139724163075903,0.106931455087836
2012-10-23,FDP,0.0433278090818694,0.0101972820682797,0.0535250911501492,0.0331305270135897
2012-10-23,Linke,0.0666721909181306,0.0123280444149818,0.0790002353331124,0.0543441465031488
2012-10-25,CDU/CSU,0.359976790450928,0.023899549071618,0.383876339522546,0.33607724137931
2012-10-25,SPD,0.303372015915119,0.0227411737400531,0.326113189655172,0.280630842175066
2012-10-25,Grüne,0.12,0.0161654277188329,0.136165427718833,0.103834572281167
2012-10-25,FDP,0.04,0.00974723806366048,0.0497472380636605,0.0302527619363395
2012-10-25,Linke,0.0733255968169761,0.0130256366047745,0.0863512334217507,0.0602999602122016
2012-10-30,CDU/CSU,0.37331899404368,0.0240404566512244,0.397359450694904,0.349278537392455
